ツイート特選,ツイートトクセン
マイツイート,マイツイート
フォーゲル教授,フォーゲルキョウジュ
世界的,セカイテキ
百万,ヒャクマン
何百,ナンヒャク
イブリス,イブリス
十年,ジュウネン
占領地,センリョウチ
皇軍将士,コウグンショウシ
年前,ネンマエ
数年,スウネン
正当化,セイトウカ
縄張り争い,ナワバリアラソイ
Twitterすごろく,ツイッタースゴロク
強制性,キョウセイセイ
奴隷制度,ドレイセイド
過去ログ特選,カコログトクセン
一国,イチコク
一度,イチド
十人,ジュウニン
菅官房長官,カンカンボウチョウカン
万人,マンニン
年後,ネンゴ
自分ら,ジブンラ
ストウ夫人,ストウフジン
領土欲,リョウドヨク
一人,イチニン
慰安婦奴隷化,イアンフドレイカ
侵略国,シンリャクコク
自由主義国家,ジユウシュギコッカ
ツイ特選,ツイトクセン
支配者,シハイシャ
マイツイ,マイツイ
特別視,トクベツシ
リビア空軍,リビアクウグン
日本娘,ニッポンムスメ
2011年2月16日,ニセンジュウイチネンニガツジュウロクニチ
百年,ヒャクネン
2012年12月29日,ニセンジュウニネンジュウニガツニジュウクニチ
逸脱ぶり,イツダツブリ
2011年3月28日,ニセンジュウイチネンサンガツニジュウハチニチ
男性ホルモン,ダンセイホルモン
三マス,サンマス
年相応,トシソウオウ
トルコ大統領,トルコダイトウリョウ
いじめっ子同士,イジメッコドウシ
性奴隷表記,セイドレイヒョウキ
いじめっ子たち,イジメッコタチ
政治家,セイジカ
大日本帝国,ダイニッポンテイコク
二人,ニニン
数百,スウヒャク
米政府,ベイセイフ
こと自体,コトジタイ
日本では,ニッポンデハ
米国議会,ベイコクギカイ
万円,マンエン
日本経済,ニッポンケイザイ
失敗あるある,シッパイアルアル
何十,ナニジュウ
戦後最大,センゴサイダイ
ココ重要,ココジュウヨウ
アジア侵略,アジアシンリャク
戦争犯罪調査,センソウハンザイチョウサ
国家的,コッカテキ
朝日叩き,アサヒハタキ
バカウヨども,バカウヨドモ
国家主義者,コッカシュギシャ
女性たち,ジョセイタチ
的状況,テキジョウキョウ
大戦中,タイセンチュウ
枢軸側,スウジクガワ
被害女性,ヒガイジョセイ
宣伝効果,センデンコウカ
紙奴隷,カミドレイ
お前ら,オマエラ
日中,ニチチュウ
何千,ナンセン
それ自体,ソレジタイ
右傾メディア,ウケイメディア
アメリカ南部,アメリカナンブ
具体的,グタイテキ
一回,イチカイ
日本国,ニッポンコク
従軍慰安婦制度,ジュウグンイアンフセイド
百人,ヒャクニン
対日,タイニチ
きみら,キミラ
所有者,ショユウシャ
武力制圧,ブリョクセイアツ
人が一,ジンガイチ
的認識,テキニンシキ
ネトウヨども,ネトウヨドモ
解決策,カイケツサク
相当数,ソウトウスウ
日本以外,ニッポンイガイ
調査資料,チョウサシリョウ
日本側,ニッポンガワ
一定数,イチテイスウ
キリスト教徒,キリストキョウト
一日,イチニチ
二年,ニネン
攻撃欲,コウゲキヨク
数年間,スウネンカン
イルカ漁,イルカリョウ
キリスト教,キリストキョウ
いちばん具合,イチバングアイ
性奴隷被害,セイドレイヒガイ
独立性,ドクリツセイ
英雄的,エイユウテキ
ゾンビみたい,ゾンビミタイ
向け慰安所,ムケイアンジョ
戦場,センジョウ
支給品,シキュウヒン
人が政府,ジンガセイフ
五十,ゴジュウ
相手国,アイテコク
テキサス親父以外,テキサスオヤジイガイ
日常的,ニチジョウテキ
十二,ジュウニ
オーストリア貴族,オーストリアキゾク
その他右傾,ソノタウケイ
イタリア国民,イタリアコクミン
いちばん悔恨,イチバンカイコン
軍人たち,グンジンタチ
資源豊富,シゲンホウフ
善意と労,ゼンイトロウ
差別的,サベツテキ
国内リベラル,コクナイリベラル
朝日大誤報,アサヒダイゴホウ
日本軍国主義,ニッポングンコクシュギ
的規模,テキキボ
元老伊藤博文,ゲンロウイトウヒロブミ
安倍晋三新潮,アベシンゾウシンチョウ
共有認識,キョウユウニンシキ
いくら言い訳,イクライイワケ
伊藤自身,イトウジシン
米兵向け,ベイヘイムケ
英仏,エイフツ
特定勢力,トクテイセイリョク
吉田証言以後,ヨシダショウゲンイゴ
地球大,チキュウダイ
本人様,ホンニンサマ
盛況ぶり,セイキョウブリ
歴史的下敷き,レキシテキシタジキ
性的愉楽,セイテキユラク
的犯罪,テキハンザイ
徴用率,チョウヨウリツ
人が慰安婦制度,ジンガイアンフセイド
白人コンプレックス,ハクジンコンプレックス
戦犯国家,センパンコッカ
これ以上,コレイジョウ
人以上,ニンイジョウ
ことじゃなくて,コトジャナクテ
根源的,コンゲンテキ
安倍内閣ならび,アベナイカクナラビ
ただ国,タダコク
2011年2月15日,ニセンジュウイチネンニガツジュウゴニチ
奴隷問題,ドレイモンダイ
日本自体,ニッポンジタイ
戦後コンプレックス,センゴコンプレックス
意見出し,イケンダシ
と労わり,トロウワリ
ボルネオ北部,ボルネオホクブ
英語力,エイゴリョク
ため拉致,タメラチ
国内向け,コクナイムケ
国単位,コクタンイ
合法的手段,ゴウホウテキシュダン
テキサス親父劇場,テキサスオヤジゲキジョウ
的問題,テキモンダイ
米国市民,ベイコクシミン
国際通念,コクサイツウネン
保護国化,ホゴコクカ
慰安婦徴用,イアンフチョウヨウ
国民もろ,コクミンモロ
韓国は頭,カンコクハトウ
家でアニメ,イエデアニメ
十通り,ジュウトオリ
大日本国営,ダイニッポンコクエイ
運営者,ウンエイシャ
韓国一,カンコクイチ
軍備増強,グンビゾウキョウ
奴隷虐待,ドレイギャクタイ
ユダヤ人二,ユダヤジンニ
2011年2月19日,ニセンジュウイチネンニガツジュウクニチ
唯々諾々,イイダクダク
騒乱状態,ソウランジョウタイ
有史以来,ユウシイライ
愚鈍ぶり,グドンブリ
殺害行為,サツガイコウイ
２ちゃん総動員,ニチャンネルソウドウイン
第二次大戦時,ダイニジタイセンジ
責任逃れ,セキニンノガレ
では何,デハナン
歴史好き,レキシスキ
防空戦力,ボウクウセンリョク
白人女性,ハクジンジョセイ
ため奉公,タメホウコウ
文句つけ,モンクツケ
戦前史,センゼンシ
うち作者,ウチサクシャ
二号,ニゴウ
お花畑史観,オハナバタケシカン
ポーランド二国間,ポーランドニコクカン
2010年7月31日,ニセンジュウネンシチガツサンジュウイチニチ
買収工作,バイシュウコウサク
強硬姿勢,キョウコウシセイ
数千万,スウセンマン
航海用,コウカイヨウ
国民一,コクミンイチ
二分,ニフン
7月31日ツイート,シチガツサンジュウイチニチツイート
集団エゴ,シュウダンエゴ
日本伝来,ニッポンデンライ
内向き,ウチムキ
世界競争,セカイキョウソウ
不届き者,フトドキシャ
系勘違い,ケイカンチガイ
強制派,キョウセイハ
錯誤ぶり,サクゴブリ
海外植民地,カイガイショクミンチ
2011年2月17日,ニセンジュウイチネンニガツジュウシチニチ
浸透力,シントウリョク
差別団体,サベツダンタイ
一国民,イチコクミン
支持者,シジシャ
靖国史観,ヤスクニシカン
ものいじめ,モノイジメ
強国同士,キョウコクドウシ
悪魔的,アクマテキ
アーリントン墓地,アーリントンボチ
よう非難,ヨウヒナン
それ以降,ソレイコウ
大人になってもそのままで,オトナニナッテモソノママデ
重要さ,ジュウヨウサ
補償請求,ホショウセイキュウ
ベンツネタ,ベンツネタ
こと批判,コトヒハン
女子割礼,ジョシカツレイ
ボルネオ買収,ボルネオバイシュウ
慰安婦非難,イアンフヒナン
2010年11月28日,ニセンジュウネンジュウイチガツニジュウハチニチ
国家支配,コッカシハイ
娘たち,ムスメタチ
水面下,スイメンカ
二民族,ニミンゾク
名言集,メイゲンシュウ
国連人権,コクレンジンケン
みずから再燃,ミズカラサイネン
全体秩序,ゼンタイチツジョ
人権委,ジンケンイ
ネット右翼すべて,ネットウヨクスベテ
国際情勢,コクサイジョウセイ
遠洋航海,エンヨウコウカイ
米議会,ベイギカイ
もしフェミニズム,モシフェミニズム
千年,センネン
日系米国,ニッケイベイコク
歴史美化,レキシビカ
吹き替え文化,フキカエブンカ
犯罪率,ハンザイリツ
一切れ,イチキレ
的サービス,テキサービス
子守唄みたい,コモリウタミタイ
４０,ヨンゼロ
否認派,ヒニンハ
いつか未来,イツカミライ
デリヘル風俗,デリヘルフウゾク
日本部長,ニッポンブチョウ
万ドル,マンドル
では石,デハセキ
夫婦愛,フウフアイ
街並み,マチナミ
Twitterあるある,ツイッターアルアル
口説き文句,クドキモンク
2011年3月25日,ニセンジュウイチネンサンガツニジュウゴニチ
社内サーバー,シャナイサーバー
各国トレンド,カッコクトレンド
ハーグ条約加盟,ハーグジョウヤクカメイ
おでん祭り,オデンマツリ
エジプトでは,エジプトデハ
書きブーメラン,ガキブーメラン
上うどん,ジョウウドン
会場雷鳴,カイジョウライメイ
2011年2月3日,ニセンジュウイチネンニガツミッカ
革命分子,カクメイブンシ
世界有数,セカイユウスウ
いつまでも大政奉還,イツマデモタイセイホウカン
ブーメラン大会,ブーメランタイカイ
社会全体,シャカイゼンタイ
2011年12月,ニセンジュウイチネンジュウニガツ
2012年12月,ニセンジュウニネンジュウニガツ
手羽いらん,テバイラン
地球愛,チキュウアイ
年説,ネンセツ
2011年12月23日,ニセンジュウイチネンジュウニガツニジュウサンニチ
知恵相応,チエソウオウ
人間同士,ニンゲンドウシ
回twitter,カイツイッター
男性どちら,ダンセイドチラ
Secretto,シークレットトゥ
親子愛,オヤコアイ
帝国主義国,テイコクシュギコク
2012年8月31日,ニセンジュウニネンハチガツサンジュウイチニチ
対潜,タイセン
過去ログ選,カコログセン
カダフィにも,カダフィニモ
一号,イチゴウ
らリアル,ラリアル
末端肥大,マッタンヒダイ
日本病,ニッポンビョウ
マッチョ社会,マッチョシャカイ
今夜は月,コンヤハツキ
ドワンゴ社員,ドワンゴシャイン
部隊勇士,ブタイユウシ
証明済み,ショウメイズミ
2011年9月24日,ニセンジュウイチネンクガツニジュウヨッカ
2012年11月12日,ニセンジュウニネンジュウイチガツジュウニニチ
捕虜扱い,ホリョアツカイ
受賞者,ジュショウシャ
eplace,イーピーエルウツクシイホシヘノコウドウ
ステルス体質,ステルスタイシツ
マス前進,マスゼンシン
パジャマ大使,パジャマタイシ
Twitter霊園,ツイッターレイエン
八百,ハチヒャク
極東米軍,キョクトウベイグン
一番美しく表現,イチバンウツクシクヒョウゲン
アーリア人種,アーリアジンシュ
貴方風,アナタフウ
同胞愛,ドウホウアイ
世界人類,セカイジンルイ
お見合い会場,オミアイカイジョウ
ハリウッド映画あるある,ハリウッドエイガアルアル
サービス開始,サービスカイシ
開明的,カイメイテキ
リビアみたい,リビアミタイ
同性同士,ドウセイドウシ
ブラジル美人,ブラジルビジン
文章お見合い,ブンショウオミアイ
2012年10月12日,ニセンジュウニネンジュウガツジュウニニチ
邦人被害,ホウジンヒガイ
1945年6月,センキュウヒャクヨンジュウゴネンロクガツ
2012年9月18日,ニセンジュウニネンクガツジュウハチニチ
2012年12月18日,ニセンジュウニネンジュウニガツジュウハチニチ
やれRT,ヤレアールティー
相撲八百長,スモウヤオチョウ
ただ大東亜戦争,タダダイトウアセンソウ
veryspecial,ベリイスペシャル
国民二,コクミンニ
The Greatest,ザグレートエスト
成長ホルモン,セイチョウホルモン
万票,マンヒョウ
労働者,ロウドウシャ
侵略か否,シンリャクカヒ
人類愛,ジンルイアイ
ネオナチくん,ネオナチクン
鳥さん,トリサン
まま非公式RT,ママヒコウシキアールティー
見栄根性,ミエコンジョウ
わたしリカちゃん,ワタシリカチャン
twitter上,ツイッタージョウ
二種類,ニシュルイ
二マス,ニマス
あまり空母,アマリクウボ
男女不平等,ダンジョフビョウドウ
親和感,シンワカン
的ステルス,テキステルス
名誉向上,メイヨコウジョウ
ダニエル・イノウエ上院議員,ダニエルイノウエジョウインギイン
実証的,ジッショウテキ
前原辞任,マエハラジニン
2011年3月11日,ニセンジュウイチネンサンガツジュウイチニチ
原作書き,ゲンサクガキ
ぶっちゃけ慰安婦制度,ブッチャケイアンフセイド
プロ級,プロキュウ
感情的,カンジョウテキ
…。これ,サイレンスコレ
2010年12月30日,ニセンジュウネンジュウニガツサンジュウニチ
百姓ども,ヒャクショウドモ
仏蘭,フツラン
邦画界,ホウガカイ
ダニエル・イノウエ氏,ダニエルイノウエシ
誰かがあなた,ダレカガアナタ
竹島放棄,タケシマホウキ
西園寺公望風,サイオンジキンモチフウ
と電網,トデンモウ
理想化,リソウカ
反日デモ隊,ハンニチデモタイ
あなたたち,アナタタチ
1942年1月,センキュウヒャクヨンジュウニネンイチガツ
加盟要求,カメイヨウキュウ
国連憲章採択,コクレンケンショウサイタク
You.,ヨーユー
うどんそば,ウドンソバ
ほかTwitter,ホカツイッター
新宿通り魔,シンジュクドオリマ
バカウヨたち,バカウヨタチ
もとで連動,モトデレンドウ
日系部隊,ニッケイブタイ
ウザイこと,ウザイコト
国際的,コクサイテキ
マジわからん,マジワカラン
就寝中,シュウシンチュウ
自作以外,ジサクイガイ
太平洋水域,タイヘイヨウスイイキ
相手役,アイテヤク
サーバールーム,サーバールーム
こと遠く,コトトオク
メア日本,メアニッポン
母豚,ハハブタ
潜警護,センケイゴ
海外向け,カイガイムケ
aceM,ウツクシイホシヘノコウドウメガ
…。戒め,サイレンスイマシメ
日本軍画像,ニッポングンガゾウ
男女どちら,ダンジョドチラ
おすすめユーザー,オススメユーザー
いらん猿,イランサル
議会長老,ギカイチョウロウ
2012年12月30日,ニセンジュウニネンジュウニガツサンジュウニチ
2012年9月24日,ニセンジュウニネンクガツニジュウヨッカ
あてつけ,アテツケ
向けポーズ,ムケポーズ
映画界,エイガカイ
小説書き,ショウセツガキ
網機能,モウキノウ
人々と電,ヒトビトトデン
拘束性,コウソクセイ
不思議現象,フシギゲンショウ
対外的,タイガイテキ
成立年度,セイリツネンド
中東ドミノ,チュウトウドミノ
そば戦争,ソバセンソウ
国日本,コクニッポン
画像祭り,ガゾウマツリ
長老ダニエル・イノウエ,チョウロウダニエルイノウエ
地震後,ジシンゴ
3月11日なに,サンガツジュウイチニチナニ
男女両方,ダンジョリョウホウ
新作ゴジラ,シンサクゴジラ
実験的,ジッケンテキ
船団護送,センダンゴソウ
南京事件否認,ナンキンジケンヒニン
連合国宣言,レンゴウコクセンゲン
2011年3月24日,ニセンジュウイチネンサンガツニジュウヨッカ
好戦性,コウセンセイ
エジプト大統領,エジプトダイトウリョウ
Repl,ラウンドイーピーエル
航空戦力,コウクウセンリョク
来日中,ライニチチュウ
まま天,ママテン
魔予告犯,マヨコクハン
霊的,レイテキ
創作文章,ソウサクブンショウ
下請け中小企業,シタウケチュウショウキギョウ
突き上げ,ツキアゲ
優美さ,ユウビサ
トレンド比較,トレンドヒカク
イノウエ氏,イノウエシ
じゃなくて注射,ジャナクテチュウシャ
２ちゃんねる化,ニチャンネルカ
バラク・オバマ大統領,バラクオバマダイトウリョウ
一票,イチヒョウ
翌日ロシア,ヨクジツロシア
聖典コーラン,セイテンコーラン
りんごまるかじり,リンゴマルカジリ
園経営者,エンケイエイシャ
天使イブ,テンシイブ
邪悪さ,ジャアクサ
志賀内,シガナイ
2011年3月20日,ニセンジュウイチネンサンガツハツカ
エイプリルフール青森,エイプリルフールアオモリ
悪魔イブ,アクマイブ
悪逆無道,アクギャクムドウ
内くん,ナイクン
マーケットガーデン作戦末期,マーケットガーデンサクセンマッキ
こっち岸,コッチガン
りんご園,リンゴエン
沖縄メディア,オキナワメディア
ツイート選,ツイートセン
地球儀目前,チキュウギモクゼン
あたし福の神,アタシフクノカミ
分離独立要求,ブンリドクリツヨウキュウ
2013年1月9日,ニセンジュウサンネンイチガツココノカ
表記謝罪,ヒョウキシャザイ
ローガン事件,ローガンジケン
運転手,ウンテンシュ
影響力,エイキョウリョク
０機,ゼロキ
ジャポニカ学習帳ジェネレータ,ジャポニカガクシュウチョウジェネレータ
千万,センマン
日韓関係,ニッカンカンケイ
馬鹿め,バカメ
身長差,シンチョウサ
後藤さん,ゴトウサン
安倍は道,アベハドウ
内閣支持率低下,ナイカクシジリツテイカ
１９,イチキュウ
人権意識,ジンケンイシキ
伝達手段,デンタツシュダン
オランダ女性,オランダジョセイ
子供たち,コドモタチ
根本的,コンポンテキ
国連委,コクレンイ
五年,ゴネン
公開中止,コウカイチュウシ
十年代,ジュウネンダイ
極右勢力,キョクウセイリョク
片山さつき氏,カタヤマサツキシ
一場面,イチバメン
創作クラスタ,ソウサククラスタ
制作費,セイサクヒ
精神状態,セイシンジョウタイ
金正恩暗殺,キムジョンウンアンサツ
クリミヤ,クリミヤ
００,ゼロゼロ
政権側,セイケンガワ
TrinityNYC,トリニティエヌワイシー
マクドゥーガル報告,マクドゥーガルホウコク
二百,ニヒャク
極右団体,キョクウダンタイ
日系移民,ニッケイイミン
円安,エンヤス
高給取り,コウキュウトリ
三十,サンジュウ
兵隊さん,ヘイタイサン
全面バックアップ,ゼンメンバックアップ
西側世界,ニシガワセカイ
温情的,オンジョウテキ
池田信夫氏,イケダノブオシ
慰安婦特集,イアンフトクシュウ
７０,ナナゼロ
千人,センニン
RT日本,アールティーニッポン
こいつら,コイツラ
日勧告,ニチカンコク
見当はずれ,ケントウハズレ
勝ち目,カチメ
ウクライナ危機,ウクライナキキ
数千,スウセン
エボラ対策,エボラタイサク
差別表現,サベツヒョウゲン
何万,ナンマン
十万,ジュウマン
二十,ニジュウ
特攻隊員,トッコウタイイン
支給率,シキュウリツ
差別的発言,サベツテキハツゲン
七十,ナナジュウ
一億,イチオク
億円,オクエン
未来予測,ミライヨソク
ＴＶ映画,テレビエイガ
原著者,ゲンチョシャ
チェコスロバキア,チェコスロバキア
奴隷兵,ドレイヘイ
戦勝史観,センショウシカン
国連人権委員会,コクレンジンケンイインカイ
NHKニュース,エヌエイチケイニュース
戦争体験,センソウタイケン
法華狼,ホッケオオカミ
数万,スウマン
RT安倍首相,アールティーアベシュショウ
根っ子,ネッコ
一次,イチジ
米国内,ベイコクナイ
一歩,イチホ
自由民,ジユウミン
同盟国,ドウメイコク
人質交換,ヒトジチコウカン
者たち,シャタチ
研究者,ケンキュウシャ
連合国戦勝,レンゴウコクセンショウ
０万,ゼロマン
仲間たち,ナカマタチ
日本食,ニッポンショク
一枚,イチマイ
分の一,ブンノイチ
残虐行為,ザンギャクコウイ
真珠湾奇襲,シンジュワンキシュウ
五人,ゴニン
０年,ゼロネン
交通量調査,コウツウリョウチョウサ
共産勢力,キョウサンセイリョク
歴史的,レキシテキ
全国行動,ゼンコクコウドウ
３０,サンゼロ
９年,キュウネン
占領下,センリョウカ
