円高,エンダカ
円台,エンダイ
マイナス金利導入,マイナスキンリドウニュウ
円安,エンヤス
兆円,チョウエン
年半,ネンハン
団体献金,ダンタイケンキン
消費税アップ,ショウヒゼイアップ
何十,ナンジュウ
これ以上,コレイジョウ
次期大統領候補,ジキダイトウリョウコウホ
量的金融緩和,リョウテキキンユウカンワ
福祉高,フクシダカ
十年,ジュウネン
目標達成,モクヒョウタッセイ
高負担,ダカフタン
Yahooニュース,ヤフーニュース
万円,マンエン
全額税金,ゼンガクゼイキン
TPP反対,ティピーピーハンタイ
人口減少,ジンコウゲンショウ
実質賃金マイナス,ジッシツチンギンマイナス
経済成長率,ケイザイセイチョウリツ
富の集中,トミノシュウチュウ
日本経済,ニッポンケイザイ
財政再建計画,ザイセイサイケンケイカク
こいつら,コイツラ
米国では,ベイコクデハ
資格取得,シカクシュトク
お茶を濁す程度,オチャヲニゴステイド
政治家,セイジカ
シェア争奪戦,シェアソウダツセン
拉致被害者家族,ラチヒガイシャカゾク
人工島沖,ジンコウトウオキ
トランプ氏,トランプシ
横ばい以上,ヨコバイイジョウ
一度,イチド
全部コンピュータ,ゼンブコンピュータ
少子化原因,ショウシカゲンイン
貸出し先,カシダシサキ
原発コスト,ゲンパツコスト
何倍,ナンバイ
通貨安,ツウカヤス
根本的,コンポンテキ
長期投資,チョウキトウシ
プラマイゼロ,プラマイゼロ
一人,イチニン
ゼロ狙い,ゼロネライ
TPP抜き,ティピーピーヌキ
千円,センエン
２時,ニジ
トランプ旋風,トランプセンプウ
ら破綻,ラハタン
待機児童数,タイキジドウスウ
消費支出,ショウヒシシュツ
ゼロ以下,ゼロイカ
選挙制度改革,センキョセイドカイカク
消費税先送り,ショウヒゼイサキオクリ
産油国どうし,サンユコクドウシ
沖進入,オキシンニュウ
エネルギー量,エネルギーリョウ
一強,イチキョウ
００,ゼロゼロ
聖火台,セイカダイ
全面改訂,ゼンメンカイテイ
研究成果,ケンキュウセイカ
絶望的,ゼツボウテキ
異常安値,イジョウヤスネ
たくさん献金,タクサンケンキン
米艦,ベイカン
年明け以降,トシアケイコウ
波乱要因,ハランヨウイン
人負け,ニンマケ
原油市場,ゲンユシジョウ
前提条件,ゼンテイジョウケン
一党,イチトウ
土木利権,ドボクリケン
間抜けさ,マヌケサ
年以内,ネンイナイ
保険商品,ホケンショウヒン
５カ月,ゴカゲツ
分税金,ブンゼイキン
今後安売り,コンゴヤスウリ
春節前,シュンセツマエ
送電網,ソウデンモウ
実感できないよ,ジッカンデキナイヨ
円近辺,エンキンペン
テロ情報,テロジョウホウ
海外テロ,カイガイテロ
人が自民党,ジンガジミントウ
担当大臣,タントウダイジン
民間債務,ミンカンサイム
国鉄マン,コクテツマン
設備過剰,セツビカジョウ
利害調整,リガイチョウセイ
ケンカですよ。,ケンカデスヨ
教育レベル,キョウイクレベル
個必要,コヒツヨウ
欧州銀,オウシュウギン
お金持ち,オカネモチ
世界規模,セカイキボ
お構い無し,オカマイナシ
何時,ナンジ
財政再建プラン,ザイセイサイケンプラン
%ですよ。,パーセントデスヨ
株価急落,カブカキュウラク
新築物件,シンチクブッケン
オリンピック競技場,オリンピックキョウギジョウ
客観的評価,キャッカンテキヒョウカ
東京オリンピック中止,トウキョウオリンピックチュウシ
年ぶり,ネンブリ
危機レベル,キキレベル
消費拡大,ショウヒカクダイ
直接観測,チョクセツカンソク
相当問題,ソウトウモンダイ
高防衛,ダカボウエイ
すべて無償,スベテムショウ
長期政権確実,チョウキセイケンカクジツ
全員死亡,ゼンインシボウ
以降株価,イコウカブカ
教育費,キョウイクヒ
計画2020年,ケイカクニセンニジュウネン
戦後最高,センゴサイコウ
順位急降下,ジュンイキュウコウカ
拉致再調査,ラチサイチョウサ
EU離脱国民投票,イーユーリダツコクミントウヒョウ
年前,ネンマエ
思想信,シソウシン
事前通告,ジゼンツウコク
恒久的,コウキュウテキ
実現性度,ジツゲンセイド
ゼロパーセント,ゼロパーセント
全員就労,ゼンインシュウロウ
貧困対策,ヒンコンタイサク
道路工事,ドウロコウジ
米国型,ベイコクガタ
急降下中,キュウコウカチュウ
対抗策,タイコウサク
最高レベル,サイコウレベル
都合悪いこと,ツゴウワルイコト
政権発足,セイケンホッソク
借金大国,シャッキンタイコク
分裂解体,ブンレツカイタイ
着地点,チャクチテン
薬剤メーカ,ヤクザイメーカ
一手,イチテ
的繁栄,テキハンエイ
迎撃システム,ゲイゲキシステム
消費額,ショウヒガク
借金返済,シャッキンヘンサイ
利権維持,リケンイジ
抜本対策,バッポンタイサク
欧米得意,オウベイトクイ
資源頼み,シゲンタノミ
1985年以来,センキュウヒャクハチジュウゴネンイライ
円単位,エンタンイ
宇宙ツアー,ウチュウツアー
再生エネルギー,サイセイエネルギー
2020年ごろ,ニセンニジュウネンゴロ
安倍旋風,アベセンプウ
実質賃金プラス,ジッシツチンギンプラス
企業団体,キギョウダンタイ
年連続,ネンレンゾク
はずwww,ハズスリーダブリュー
かた異常,カタイジョウ
額マイナス,ガクマイナス
的ニュース,テキニュース
小康状態,ショウコウジョウタイ
ミサイル迎撃,ミサイルゲイゲキ
予定量,ヨテイリョウ
世界平均,セカイヘイキン
的問題,テキモンダイ
住宅購入,ジュウタクコウニュウ
近いうちに国債,チカイウチニコクサイ
政治思想的,セイジシソウテキ
資金力,シキンリョク
強制賃上げ,キョウセイチンアゲ
少子化,ショウシカ
イスラム国掃討,イスラムコクソウトウ
ギリシャ危機,ギリシャキキ
経済政策失敗,ケイザイセイサクシッパイ
サイバーテロ対策,サイバーテロタイサク
移民政策スタート,イミンセイサクスタート
色ボケ,イロボケ
以上お金,イジョウオカネ
バラまき,バラマキ
ドル買い介入,ドルガイカイニュウ
年金資金,ネンキンシキン
自民党一党独裁,ジミントウイットウドクサイ
大量一斉,タイリョウイッセイ
政治資金規正法違反,セイジシキンキセイホウイハン
財政再建目標,ザイセイサイケンモクヒョウ
成功確率,セイコウカクリツ
多弱,タジャク
ばすぎ,バスギ
人類未体験ゾーン,ジンルイミタイケンゾーン
日本の政治家,ニッポンノセイジカ
常態化,ジョウタイカ
内部留保金,ナイブリュウホキン
導入効果,ドウニュウコウカ
中国マーケット,チュウゴクマーケット
NYダウ平均,ニューヨークダウヘイキン
兆ドル,チョウドル
2020年目標,ニセンニジュウネンモクヒョウ
本足,ホンアシ
6月実施,ロクガツジッシ
ところ金目,トコロカネメ
まき量,マキリョウ
非課税障壁,ヒカゼイショウヘキ
以後為替レート,イゴカワセレート
年金機構,ネンキンキコウ
好き勝手,スキカッテ
全面中止,ゼンメンチュウシ
%突破,パーセントトッパ
日本みたい,ニッポンミタイ
ノープロブレム,ノープロブレム
格差縮小,カクサシュクショウ
台前半,ダイゼンハン
韓中,カンチュウ
子育て全面,コソダテゼンメン
米国占領,ベイコクセンリョウ
経済モデル,ケイザイモデル
１日,イチニチ
世界同時株安状態,セカイドウジカブヤスジョウタイ
無償化,ムショウカ
撤退派,テッタイハ
軍事化,グンジカ
一億総活躍,イチオクソウカツヤク
国家危機,コッカキキ
9.11テロ,キュウイチイチキュウテンイチイチテロ
投資家さん,トウシカサン
観測成功,カンソクセイコウ
ゼロ金利,ゼロキンリ
潜在的待機児童,センザイテキタイキジドウ
半何,ハンナニ
リーマンショック以上,リーマンショックイジョウ
落第点,ラクダイテン
少子高齢化問題,ショウシコウレイカモンダイ
情報交換,ジョウホウコウカン
高注意報,ダカチュウイホウ
高狙い,ダカネライ
どんだけワガママ,ドンダケワガママ
平均的,ヘイキンテキ
なのは有名,ナノハユウメイ
要人殺害,ヨウジンサツガイ
３弾,サンダン
米国大統領選,ベイコクダイトウリョウセン
甘利大臣,アマリダイジン
EU離脱派,イーユーリダツハ
難民問題,ナンミンモンダイ
金融環境,キンユウカンキョウ
実質的,ジッシツテキ
企業業績,キギョウギョウセキ
油田開発コスト,ユデンカイハツコスト
少子化加速,ショウシカカソク
何兆,ナンチョウ
PAC3ミサイル,パックスリーミサイル
大手電力会社,オオテデンリョクガイシャ
遠藤五輪,エンドウゴリン
不利どちら,フリドチラ
十人,ジュウニン
億円,オクエン
先週末,センシュウマツ
株買い,カブカイ
キリスト教,キリストキョウ
サプライズ禁止,サプライズキンシ
不倫疑惑,フリンギワク
まま離脱,ママリダツ
長期化,チョウキカ
負け状態,マケジョウタイ
基地反対,キチハンタイ
デフレ化,デフレカ
株式売買,カブシキバイバイ
掘削コスト,クッサクコスト
自民党支持層,ジミントウシジソウ
防衛効果,ボウエイコウカ
安倍政権前,アベセイケンマエ
宗教的価値観,シュウキョウテキカチカン
世界的,セカイテキ
機能マヒ,キノウマヒ
めローマ,メローマ
短期的,タンキテキ
就労可能,シュウロウカノウ
２０,ニゼロ
強多,キョウタ
TV業界,テレビギョウカイ
%割れ,パーセントワレ
民主党よりまし,ミンシュトウヨリマシ
人集団,ヒトアツメダン
失敗原因,シッパイゲンイン
持続的,ジゾクテキ
年金医療費,ネンキンイリョウヒ
負担政策,フタンセイサク
子育て環境,コソダテカンキョウ
割以上,ワリイジョウ
合理的,ゴウリテキ
以上円,イジョウエン
安倍一,アベイチ
問題先送り,モンダイサキオクリ
首都機能,シュトキノウ
安倍晋三首相,アベシンゾウシュショウ
金融政策一本足打法,キンユウセイサクイッポンアシダホウ
金融緩和頼み,キンユウカンワタノミ
万歳,マンサイ
当面移民,トウメンイミン
まま来週,ママライシュウ
よう国,ヨウコク
利用料金,リヨウリョウキン
何位,ナンイ
注意報発令,チュウイホウハツレイ
民間銀行,ミンカンギンコウ
強制投資,キョウセイトウシ
千億,センオク
課題山積,カダイサンセキ
規模金融緩和,キボキンユウカンワ
欧中,オウチュウ
０万,ゼロマン
春節明け,シュンセツアケ
どんだけ劣悪,ドンダケレツアク
アベノミクス終了,アベノミクスシュウリョウ
金融緩和パニック,キンユウカンワパニック
賃金ベースアップ,チンギンベースアップ
来週あたり,ライシュウアタリ
少子高齢化自体,ショウシコウレイカジタイ
占領下,センリョウカ
数年,スウネン
一番重要,イチバンジュウヨウ
選挙法,センキョホウ
吸収仕切,キュウシュウシキリ
一斉定年退職,イッセイテイネンタイショク
高警報,ダカケイホウ
バブル気配,バブルケハイ
年過ぎ,ネンスギ
危機再燃,キキサイネン
ルール統一,ルールトウイツ
既成緩和,キセイカンワ
北方領土交渉,ホッポウリョウドコウショウ
お国柄,オクニガラ
医療費大幅,イリョウヒオオハバ
自社株,ジシャカブ
ムリwww,ムリスリーダブリュー
年分,ネンブン
全面無償化,ゼンメンムショウカ
安狙い,ヤスネライ
緊縮財政突入,キンシュクザイセイトツニュウ
いんじゃ国,インジャコク
重大疑惑,ジュウダイギワク
%以外,パーセントイガイ
ぶり安値,ブリヤスネ
あたり一,アタリイチ
越後屋みたい,エチゴヤミタイ
制裁緩和,セイサイカンワ
全員無事,ゼンインブジ
弾切れ,タマギレ
石原大臣,イシハラダイジン
%成長,パーセントセイチョウ
不動産購入,フドウサンコウニュウ
コスト削減,コストサクゲン
一生ムリ,イッショウムリ
馬鹿だらけ,バカダラケ
性的リスク,セイテキリスク
女性活躍,ジョセイカツヤク
ブレよう,ブレヨウ
本格的,ホンカクテキ
12月期,ジュウニガツキ
にも格差,ニモカクサ
アベノミクス期間,アベノミクスキカン
今年いっぱい,コトシイッパイ
削減提携,サクゲンテイケイ
日本の財政再建,ニホンノザイセイサイケン
非正規雇用率,ヒセイキコヨウリツ
長期的,チョウキテキ
1月以上,イチガツイジョウ
金融緩和策,キンユウカンワサク
汚職事件,オショクジケン
開業万,カイギョウマン
型テロ,ガタテロ
公約達成,コウヤクタッセイ
一党独裁体制,イットウドクサイタイセイ
ベースアップ幅,ベースアップハバ
自民党じゃなくて,ジミントウジャナクテ
日本株価,ニッポンカブカ
意向どおり,イコウドオリ
８時,ハチジ
発足前,ホッソクマエ
法違反,ホウイハン
先進国中,センシンコクチュウ
足打法,アシダホウ
少子高齢化対策,ショウシコウレイカタイサク
2016年5月30日,ニセンジュウロクネンゴガツサンジュウニチ
翌朝６,ヨクアサロク
リーマンショック級,リーマンショックキュウ
賃上げ交渉,チンアゲコウショウ
大幅カット,オオハバカット
持続可能,ジゾクカノウ
金融政策頼み,キンユウセイサクタノミ
一番あと回し,イチバンアトマワシ
金融ショー,キンユウショー
普遍的,フヘンテキ
フレーズ程度,フレーズテイド
経済運営,ケイザイウンエイ
安操作,ヤスソウサ
資金源,シキンゲン
上昇分,ジョウショウブン
崩壊後,ホウカイゴ
円水準,エンスイジュン
国会議員定数,コッカイギインテイスウ
高防止,ダカボウシ
金融市場混乱,キンユウシジョウコンラン
確率重視,カクリツジュウシ
恒久財源,コウキュウザイゲン
さんたち,サンタチ
物価上昇率ゼロ,ブッカジョウショウリツゼロ
深夜２,シンヤニ
実質消費,ジッシツショウヒ
年がかり,ネンガカリ
伝統的,デントウテキ
教育すべて,キョウイクスベテ
難民受け入れ問題,ナンミンウケイレモンダイ
4月ごろ,シガツゴロ
物価上昇,ブッカジョウショウ
下がりかた,サガリカタ
安倍ダメ,アベダメ
英国EU離脱,エイコクイーユーリダツ
子供基金,コドモキキン
金融マーケット,キンユウマーケット
バブル末期,バブルマッキ
ギャンブルマネー,ギャンブルマネー
年金カット,ネンキンカット
五輪担当,ゴリンタントウ
実質マイナス金利,ジッシツマイナスキンリ
何個,ナンコ
６時,ロクジ
育休議員,イクキュウギイン
ＧＤＰ比,ジーディーピーヒ
何%,ナンパーセント
加速的,カソクテキ
スト2位,ストツーイ
技術的,ギジュツテキ
